struct_id,name,smiles,inchikey,approved,approval_agencies,first_approval,chembl_max_phase4,n_targets,targets,moa_targets,flags,source,source_url,withdrawn,chembl_id,molecule_type,chembl_max_phase,approval_basis,target_evidence,notes
900124,melagatran,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,DKWNMCUOEDMMIN-PKOBYXMFSA-N,1,,2004,1,1,F2,,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL266349.json,0,CHEMBL266349,Small molecule,4.0,chembl_max_phase_4,"chembl_pchembl>=6,n>=2",
900125,merbromin,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)cc-2oc2[c]([Hg+])c(O)c(Br)cc12,JTQWYPYCROTYNR-UHFFFAOYSA-M,1,,,1,0,,,multi_fragment;metal_stripped,PubChem PUG REST (name lookup; ChEMBL has no structure),"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/9853537/property/Title,SMILES/JSON",0,CHEMBL3833381,Small molecule,4.0,chembl_max_phase_4,,no structure in ChEMBL; SMILES from PubChem CID 9853537 (Title: Merbromin; identity confirmed by pubchem_title_agrees)
900126,merethoxylline procaine,COCCOC([CH2][Hg+])CNC(=O)c1ccccc1OCC(=O)O,HOYXNJIDDSNBQN-UHFFFAOYSA-N,1,,1982,1,0,,,multi_fragment;charged_parent,PubChem PUG REST (name lookup; ChEMBL has no structure),"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/72710718/property/Title,SMILES/JSON",0,CHEMBL1200443,Small molecule,4.0,chembl_max_phase_4,,no structure in ChEMBL; SMILES from PubChem CID 72710718 (Title: Procaine Merethoxylline; identity confirmed by pubchem_title_agrees)
900127,mersalyl,COC([CH2][Hg+])CNC(=O)c1ccccc1OCC(=O)[O-],VTCIJZPATSUMJC-UHFFFAOYSA-M,1,,1982,1,0,,,multi_fragment;metal_stripped,PubChem PUG REST (name lookup; ChEMBL has no structure),"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/9806195/property/Title,SMILES/JSON",0,CHEMBL1200943,Small molecule,4.0,chembl_max_phase_4,,no structure in ChEMBL; SMILES from PubChem CID 9806195 (Title: Mersalyl; identity confirmed by pubchem_title_agrees)
900128,metabromsalan,O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O,YALKQBRWLMDVSA-UHFFFAOYSA-N,1,,,1,0,,,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1801800.json,1,CHEMBL1801800,Small molecule,4.0,chembl_max_phase_4,,
900129,methenamine hippurate,O=C(O)CNC(=O)c1ccccc1,QIAFMBKCNZACKA-UHFFFAOYSA-N,1,,1967,1,0,,,multi_fragment,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1201104.json,0,CHEMBL1201104,Small molecule,4.0,chembl_max_phase_4,,
900130,mipomersen sodium,COCCO[C@@H]1[C@H](SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)[C@H](OCCOC)[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(N)nc3=O)[C@H](OCCOC)[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(N)nc3=O)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(N)nc3=O)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(N)nc3=O)C[C@@H]2SP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](OCCOC)[C@@H]2SP(=O)(O)OC[C@@H]2O[C@H](n3cc(C)c(N)nc3=O)[C@@H](OCCOC)[C@H]2SP(=O)(O)OC[C@@H]2O[C@H](n3cnc4c(N)ncnc43)[C@@H](OCCOC)[C@H]2SP(=O)(O)OC[C@@H]2O[C@H](n3cc(C)c(N)nc3=O)[C@@H](OCCOC)[C@H]2SP(=O)(O)OC[C@@H]2O[C@H](n3cc(C)c(N)nc3=O)[C@@H](OCCOC)[C@H]2O)[C@@H](COP(=O)(O)S[C@H]2[C@@H](OCCOC)[C@H](n3cc(C)c(N)nc3=O)O[C@@H]2COP(=O)(O)S[C@H]2[C@@H](OCCOC)[C@H](n3cnc4c(=O)[nH]c(N)nc43)O[C@@H]2CO)O[C@H]1n1cc(C)c(N)nc1=O,TZRFSLHOCZEXCC-HIVFKXHNSA-N,1,,2013,1,0,,,multi_fragment;metal_stripped;dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL502097.json,0,CHEMBL502097,Oligonucleotide,4.0,chembl_max_phase_4,,same parent structure as: MIPOMERSEN (CHEMBL2219536)
900131,mitapivat sulfate,O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1,XAYGBKHKBBXDAK-UHFFFAOYSA-N,1,,2022,1,1,PKLR,PKLR,multi_fragment;dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4297223.json,0,CHEMBL4297223,Small molecule,4.0,chembl_max_phase_4,chembl_mechanism,same parent structure as: MITAPIVAT (CHEMBL4299940)
900132,mobocertinib,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,AZSRSNUQCUDCGG-UHFFFAOYSA-N,1,,2021,1,1,EGFR,EGFR,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4650319.json,0,CHEMBL4650319,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",same parent structure as: MOBOCERTINIB SUCCINATE (CHEMBL4802239)
900133,momelotinib,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,1,,2023,1,9,ACVR1;BMPR1A;BMPR1B;JAK1;JAK2;JAK3;NEK9;TGFBR1;TYK2,JAK1;JAK2,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1078178.json,0,CHEMBL1078178,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2","same parent structure as: MOMELOTINIB DIHYDROCHLORIDE (CHEMBL2219411), MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE (CHEMBL6068336)"
