struct_id,name,smiles,targets,moa_targets
2439,sevoflurane,FCOC(C(F)(F)F)C(F)(F)F,GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ;GLRA1;KCNK10;KCNK18;KCNK2;KCNK3;KCNK9,GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ;GLRA1;KCNK10;KCNK18;KCNK2;KCNK3;KCNK9
2440,sibutramine,CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1,ADRA2B;ADRA2C;CYP2B6;KCND3;SLC22A2;SLC6A2;SLC6A3;SLC6A4,SLC6A2;SLC6A3;SLC6A4
2441,sildenafil,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,ABCC5;ADORA1;ADORA2A;KCNH2;PDE10A;PDE11A;PDE1A;PDE1B;PDE1C;PDE2A;PDE3A;PDE3B;PDE4A;PDE4B;PDE4C;PDE4D;PDE5A;PDE6A;PDE6C;PDE7A;PDE8A;PDE9A;SLCO1B3,PDE5A
2445,simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,HMGCR;NR1I3,HMGCR
2446,sirolimus,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O,ABCB1;CYP2C19;CYP2C9;CYP3A4;EIF4E;FKBP1A;FKBP1B;FKBP3;FKBP5;MTOR;PDCD4;SLC28A1,FKBP1A
2448,sitagliptin,N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,ACE;DPP4;DPP7;DPP8;DPP9;FAP,DPP4
2451,sitosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,DPP4;F2;MAOA;MAOB;NFKB1;POLB,
2452,sivelestat,CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=CC=C1)C(=O)NCC(O)=O,ELANE;PRTN3,ELANE
2457,solifenacin,O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5,CHRM2;CHRM3
2459,sorafenib,CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1,ABL1;ABL2;ARAF;AURKA;AURKB;AURKC;AXL;BRAF;CA7;CDK14;CDK15;CDK17;CDK19;CDK2;CDK3;CDK5;CDK7;CDK8;CDKL2;CDKL3;CIT;CLK1;CSF1R;CSK;CSNK1A1;DDR1;DDR2;EGFR;EPHA1;EPHA2;EPHA3;EPHA4;EPHA5;EPHA6;EPHA7;EPHA8;EPHB1;EPHB2;EPHB4;EPHB6;EPHX2;FGFR1;FGFR2;FGFR3;FGR;FLT1;FLT3;FLT4;FRK;FYN;HCK;HIPK1;HIPK2;HIPK3;HIPK4;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;HTR7;INSR;JAK3;KDR;KIT;LCK;LIMK1;LIMK2;LYN;MAP2K5;MAP3K19;MAP3K7;MAP4K1;MAP4K4;MAP4K5;MAPK1;MAPK11;MAPK12;MAPK13;MAPK14;MAPK15;MAPK3;MAPK9;MERTK;MET;MKNK1;MKNK2;MUSK;MYLK2;MYLK3;MYO3B;NLK;NTRK1;NTRK2;NTRK3;PDGFRA;PDGFRB;PLK4;RAF1;RET;RIPK1;RIPK2;RIPK3;RPS6KA6;SLK;SRC;SRMS;STK10;STK33;STK36;TAOK1;TAOK2;TAOK3;TEK;TGFBR2;TIE1;TNIK;TNK1;TNNI3K;TTK;ZAK,BRAF;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET
